kind,idx,us,extra
rollover,1433,7,
rollover,1434,7,
rollover,1435,6,
rollover,1436,7,
rollover,1437,23,
rollover,1438,8,
rollover,1439,20,
rollover,1440,15,
rollover,1441,23,
rollover,1442,5,
rollover,1443,6,
rollover,1444,6,
rollover,1445,13,
rollover,1446,8,
rollover,1447,7,
rollover,1448,7,
rollover,1449,7,
rollover,1450,8,
rollover,1451,7,
rollover,1452,22,
rollover,1453,20,
rollover,1454,6,
rollover,1455,6,
rollover,1456,6,
rollover,1457,22,
rollover,1458,6,
rollover,1459,8,
rollover,1460,17,
rollover,1461,10,
rollover,1462,3,
rollover,1463,6,
rollover,1464,19,
rollover,1465,6,
rollover,1466,21,
rollover,1467,8,
rollover,1468,18,
rollover,1469,7,
rollover,1470,5,
rollover,1471,6,
rollover,1472,7,
rollover,1473,7,
rollover,1474,7,
rollover,1475,11,
rollover,1476,23,
rollover,1477,7,
rollover,1478,7,
rollover,1479,11,
rollover,1480,7,
rollover,1481,7,
rollover,1482,7,
rollover,1483,13,
rollover,1484,7,
rollover,1485,6,
rollover,1486,25,
rollover,1487,6,
rollover,1488,21,
rollover,1489,18,
rollover,1490,5,
